                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.74831,                 1.7442,                 1.1862,                0.90331,                0.95531,                0.96379,                0.87391,                0.45857,                 0.5223,                 0.9029,               0.070492,              0.0032787,              0.0032787
                      1,                0.63219,                0.58081,                 1.0429,                0.95949,                0.97614,                 0.9846,                0.90462,                0.42622,                0.44929,                0.86751,               0.040473,              0.0065933,              0.0065933
                      2,                 0.6678,                0.61448,                 1.0599,                0.96788,                0.97133,                0.98152,                0.89462,                0.46193,                0.61449,                0.86622,               0.010436,              0.0098891,              0.0098891
                      3,                 0.7448,                 0.6214,                 1.0765,                0.94699,                0.97792,                0.97257,                0.86078,                0.54963,                0.49672,                0.91261,              0.0099151,              0.0099151,              0.0099151
                      4,                0.75478,                0.60021,                 1.1007,                0.93767,                0.97062,                0.97122,                0.83848,                0.55394,                 0.4395,                0.93124,              0.0099151,              0.0099151,              0.0099151
                      5,                0.74745,                0.56251,                 1.0989,                0.97574,                0.94943,                0.97883,                0.88011,                0.52296,                0.43125,                0.91244,              0.0098869,              0.0098869,              0.0098869
                      6,                0.75799,                0.58119,                 1.0922,                0.95813,                0.97071,                0.97908,                0.86893,                0.55054,                0.54922,                0.92412,              0.0098586,              0.0098586,              0.0098586
                      7,                0.71989,                0.55444,                 1.0777,                0.95815,                0.97852,                0.97794,                0.87499,                0.51968,                 0.4465,                0.93623,              0.0098303,              0.0098303,              0.0098303
                      8,                0.72504,                0.52734,                 1.0855,                0.95698,                0.96313,                0.97935,                0.86281,                0.53823,                 0.5091,                0.92024,               0.009802,               0.009802,               0.009802
                      9,                0.72622,                0.52111,                 1.0784,                0.96419,                 0.9605,                0.98213,                0.88943,                0.48264,                0.65882,                0.90147,              0.0097737,              0.0097737,              0.0097737
                     10,                0.72052,                0.51131,                 1.0816,                0.95221,                 0.9866,                0.98414,                0.89851,                0.51458,                0.37048,                0.90273,              0.0097454,              0.0097454,              0.0097454
                     11,                0.69836,                0.49805,                 1.0631,                0.96373,                0.98255,                0.98192,                 0.8869,                0.51852,                0.38254,                0.91051,              0.0097171,              0.0097171,              0.0097171
                     12,                0.69661,                0.49058,                 1.0576,                0.96151,                0.96638,                0.97639,                0.88168,                0.50005,                 0.3549,                0.89141,              0.0096889,              0.0096889,              0.0096889
                     13,                0.68188,                0.47891,                 1.0602,                0.92018,                0.85868,                0.96336,                 0.8334,                0.58588,                0.57898,                0.95047,              0.0096606,              0.0096606,              0.0096606
                     14,                0.69538,                0.48485,                 1.0528,                0.95442,                0.96225,                0.98575,                0.88532,                0.50305,                0.38517,                0.91502,              0.0096323,              0.0096323,              0.0096323
                     15,                0.68791,                0.47629,                  1.046,                0.94718,                0.97827,                0.97769,                0.87198,                0.57623,                0.51848,                0.94124,               0.009604,               0.009604,               0.009604
                     16,                0.68433,                0.48348,                 1.0733,                 0.9589,                0.95739,                 0.9814,                0.88786,                0.50519,                0.37664,                0.89867,              0.0095757,              0.0095757,              0.0095757
                     17,                0.66448,                0.47061,                 1.0531,                0.96109,                0.98589,                0.98458,                0.90094,                0.47922,                 0.3408,                0.87684,              0.0095474,              0.0095474,              0.0095474
                     18,                0.69025,                0.49175,                 1.0623,                0.96934,                0.98496,                0.98469,                0.90115,                0.48326,                0.33173,                0.88443,              0.0095191,              0.0095191,              0.0095191
                     19,                0.65929,                0.46338,                 1.0471,                0.88726,                0.93075,                0.94416,                0.85769,                0.51408,                0.54833,                0.89081,              0.0094909,              0.0094909,              0.0094909
                     20,                0.64455,                0.45072,                 1.0288,                0.96538,                0.96688,                0.98649,                0.90684,                0.48772,                0.34665,                0.89433,              0.0094626,              0.0094626,              0.0094626
                     21,                0.65539,                0.44405,                 1.0394,                0.96474,                0.97678,                0.98425,                0.90677,                0.47586,                0.35442,                0.88337,              0.0094343,              0.0094343,              0.0094343
                     22,                0.66203,                0.46371,                 1.0544,                0.98102,                0.96206,                0.98296,                 0.9028,                0.44639,                0.32553,                0.87033,               0.009406,               0.009406,               0.009406
                     23,                0.64696,                0.46796,                 1.0554,                0.96619,                0.98718,                0.98116,                0.90682,                0.42103,                0.31756,                0.85083,              0.0093777,              0.0093777,              0.0093777
                     24,                0.65405,                0.45396,                 1.0466,                0.97729,                0.97151,                0.97946,                0.90378,                0.43906,                0.28739,                0.86412,              0.0093494,              0.0093494,              0.0093494
                     25,                0.67205,                0.44098,                 1.0385,                0.98099,                 0.9855,                0.98014,                0.90544,                0.48674,                 0.3156,                0.87925,              0.0093211,              0.0093211,              0.0093211
                     26,                  0.619,                0.42187,                 1.0279,                0.96798,                0.98078,                0.98263,                0.90282,                0.46914,                0.32028,                0.88477,              0.0092929,              0.0092929,              0.0092929
                     27,                0.64172,                 0.4361,                 1.0468,                0.96984,                0.97139,                0.98357,                0.90505,                0.44862,                0.30384,                0.85935,              0.0092646,              0.0092646,              0.0092646
                     28,                0.62252,                0.43214,                 1.0451,                0.95731,                0.97837,                0.98161,                0.89807,                0.48452,                 0.3133,                0.87758,              0.0092363,              0.0092363,              0.0092363
                     29,                0.64015,                0.43388,                 1.0327,                0.95124,                 0.9858,                0.97795,                0.90424,                0.45664,                0.31902,                0.87242,               0.009208,               0.009208,               0.009208
                     30,                0.62665,                0.42245,                 1.0283,                0.96719,                0.97211,                0.98363,                0.90651,                0.44422,                0.30845,                0.86389,              0.0091797,              0.0091797,              0.0091797
                     31,                0.60556,                 0.4069,                 1.0138,                0.97353,                0.96973,                0.98504,                0.91462,                0.43234,                0.29241,                0.85091,              0.0091514,              0.0091514,              0.0091514
                     32,                 0.6296,                0.42229,                 1.0352,                0.96399,                0.98078,                0.98865,                0.91676,                0.42769,                0.29923,                0.85212,              0.0091231,              0.0091231,              0.0091231
                     33,                0.61243,                0.41668,                 1.0262,                0.97541,                0.96688,                0.98436,                0.91422,                0.43854,                0.29945,                0.85315,              0.0090949,              0.0090949,              0.0090949
                     34,                0.60962,                0.41857,                 1.0233,                0.98482,                0.97614,                0.98651,                0.92675,                 0.4264,                0.28884,                0.85641,              0.0090666,              0.0090666,              0.0090666
                     35,                0.61469,                0.40412,                 1.0183,                0.97264,                0.97792,                0.98597,                0.92175,                0.43304,                0.30791,                 0.8445,              0.0090383,              0.0090383,              0.0090383
                     36,                0.61423,                0.41838,                 1.0177,                0.96672,                0.96582,                0.98754,                0.91652,                0.43299,                0.27692,                0.85765,                0.00901,                0.00901,                0.00901
                     37,                0.61139,                0.40434,                 1.0198,                 0.9687,                 0.9717,                0.98782,                0.92157,                0.47331,                0.31221,                 0.8751,              0.0089817,              0.0089817,              0.0089817
                     38,                0.61412,                0.40551,                 1.0191,                0.96442,                0.98496,                0.97993,                0.91026,                0.43796,                0.29466,                0.85685,              0.0089534,              0.0089534,              0.0089534
                     39,                0.61136,                0.40142,                 1.0204,                0.96704,                0.96667,                 0.9829,                0.91143,                 0.4116,                0.27346,                0.84888,              0.0089251,              0.0089251,              0.0089251
                     40,                0.61741,                0.41454,                 1.0191,                0.97756,                 0.9676,                0.97607,                0.90969,                0.40932,                0.33277,                 0.8546,              0.0088969,              0.0088969,              0.0088969
                     41,                0.60501,                0.40166,                 1.0105,                0.97402,                0.97618,                0.98561,                0.92164,                0.40763,                0.29967,                0.85272,              0.0088686,              0.0088686,              0.0088686
                     42,                0.60543,                0.39048,                 1.0097,                0.97518,                0.97655,                0.99057,                0.91812,                0.44668,                0.29688,                0.85373,              0.0088403,              0.0088403,              0.0088403
                     43,                0.59748,                0.40044,                 1.0139,                0.97054,                0.98694,                0.98534,                0.91699,                0.45576,                 0.2935,                0.86437,               0.008812,               0.008812,               0.008812
                     44,                0.60165,                0.39407,                 1.0153,                0.97875,                0.97717,                0.98158,                0.91131,                 0.4234,                 0.2956,                 0.8427,              0.0087837,              0.0087837,              0.0087837
                     45,                0.59059,                0.39111,                 1.0103,                0.93877,                0.95299,                0.97843,                0.89797,                0.45708,                0.36832,                0.87596,              0.0087554,              0.0087554,              0.0087554
                     46,                0.60635,                0.39335,                 1.0144,                0.98176,                0.97421,                0.99169,                0.91921,                0.40323,                0.29799,                0.83869,              0.0087271,              0.0087271,              0.0087271
                     47,                0.60778,                0.39825,                 1.0134,                0.98717,                0.96989,                0.99085,                0.92748,                0.41763,                0.29239,                0.84572,              0.0086989,              0.0086989,              0.0086989
                     48,                0.60543,                0.38959,                 1.0083,                 0.9713,                0.99359,                0.99131,                0.91965,                0.41001,                0.27227,                0.83832,              0.0086706,              0.0086706,              0.0086706
                     49,                0.59613,                0.39791,                 1.0201,                 0.9683,                0.97321,                0.99223,                0.92894,                 0.3982,                0.26203,                0.84307,              0.0086423,              0.0086423,              0.0086423
                     50,                0.61797,                0.40064,                 1.0271,                0.97974,                0.97151,                0.98096,                0.91563,                0.40286,                0.31721,                0.84972,               0.008614,               0.008614,               0.008614
                     51,                 0.6039,                0.39769,                 1.0052,                0.96451,                0.98339,                0.98135,                0.91494,                0.43991,                0.31531,                0.84651,              0.0085857,              0.0085857,              0.0085857
                     52,                0.58432,                0.39518,                 1.0042,                 0.9579,                0.97702,                0.98616,                0.93323,                0.39132,                0.28759,                0.82702,              0.0085574,              0.0085574,              0.0085574
                     53,                0.59359,                0.39086,                 1.0062,                0.98626,                0.97742,                0.99186,                0.94106,                0.44256,                0.29333,                0.82271,              0.0085291,              0.0085291,              0.0085291
                     54,                0.60452,                0.37765,                 1.0104,                0.95849,                0.99359,                0.98387,                0.91873,                0.40916,                0.27906,                0.82342,              0.0085009,              0.0085009,              0.0085009
                     55,                0.59221,                0.38683,                 1.0039,                0.96088,                0.98695,                0.98794,                0.92113,                0.39866,                 0.2896,                0.82111,              0.0084726,              0.0084726,              0.0084726
                     56,                0.59496,                0.38664,                 1.0041,                 0.9645,                 0.9746,                0.98772,                0.91936,                 0.4022,                 0.2753,                0.83045,              0.0084443,              0.0084443,              0.0084443
                     57,                0.59366,                0.36966,                0.99562,                0.94665,                0.98706,                0.98647,                0.90885,                0.41293,                0.28901,                0.82216,               0.008416,               0.008416,               0.008416
                     58,                0.59317,                0.38512,                 1.0055,                0.96647,                0.99842,                0.98803,                0.92984,                 0.4093,                0.29783,                0.81075,              0.0083877,              0.0083877,              0.0083877
                     59,                0.59363,                0.38028,                 1.0097,                0.97447,                0.99574,                0.99066,                0.92305,                0.41172,                0.26866,                0.84133,              0.0083594,              0.0083594,              0.0083594
                     60,                0.57925,                0.37341,                0.99968,                0.95039,                0.97695,                0.98397,                0.91942,                0.40916,                0.29871,                0.83995,              0.0083311,              0.0083311,              0.0083311
                     61,                 0.5684,                0.36955,                0.98535,                0.97346,                0.97706,                0.98797,                0.92182,                0.42695,                0.26516,                0.84556,              0.0083029,              0.0083029,              0.0083029
                     62,                0.58317,                0.37951,                 1.0007,                0.97216,                0.96688,                0.98812,                0.92377,                0.43681,                 0.2934,                0.84879,              0.0082746,              0.0082746,              0.0082746
                     63,                 0.5696,                0.37571,                0.99877,                0.97349,                0.98691,                 0.9844,                0.93042,                0.43182,                0.25845,                0.83095,              0.0082463,              0.0082463,              0.0082463
                     64,                0.58665,                0.38088,                 0.9998,                0.98069,                0.99339,                0.99071,                0.92807,                0.44521,                0.25023,                0.84531,               0.008218,               0.008218,               0.008218
                     65,                0.58061,                0.37869,                 1.0046,                0.97492,                0.97151,                0.98304,                0.92053,                0.39651,                0.31717,                0.82807,              0.0081897,              0.0081897,              0.0081897
                     66,                0.55373,                 0.3598,                0.98069,                 0.9733,                0.98173,                0.98958,                 0.9289,                0.44157,                0.29042,                0.83314,              0.0081614,              0.0081614,              0.0081614
                     67,                0.57534,                0.36243,                0.99993,                0.97396,                0.99159,                0.98715,                0.93581,                0.38356,                0.25716,                0.82525,              0.0081331,              0.0081331,              0.0081331
                     68,                0.56322,                0.35989,                0.99183,                0.98273,                0.97292,                 0.9899,                0.94151,                0.39766,                0.23798,                0.83248,              0.0081049,              0.0081049,              0.0081049
                     69,                0.57288,                0.35418,                0.99055,                0.97233,                0.98255,                0.99133,                0.93726,                0.39069,                0.26672,                0.83796,              0.0080766,              0.0080766,              0.0080766
                     70,                0.58032,                0.35095,                 1.0001,                0.96505,                0.97806,                0.98371,                0.92966,                0.39827,                0.24924,                0.84494,              0.0080483,              0.0080483,              0.0080483
                     71,                0.55609,                0.35344,                0.98888,                0.97487,                0.97614,                0.98707,                0.93641,                0.36574,                0.24604,                0.82585,                0.00802,                0.00802,                0.00802
                     72,                0.54831,                0.35478,                0.97853,                0.97309,                0.98642,                0.98791,                0.93015,                0.39232,                0.25411,                0.83228,              0.0079917,              0.0079917,              0.0079917
                     73,                0.55213,                0.35195,                 0.9919,                0.96641,                0.99261,                0.98544,                0.92871,                0.38597,                0.25381,                0.82551,              0.0079634,              0.0079634,              0.0079634
                     74,                0.57478,                0.35508,                 1.0042,                 0.9728,                0.98381,                0.98618,                0.93324,                0.38845,                0.25262,                0.83088,              0.0079351,              0.0079351,              0.0079351
                     75,                0.56564,                0.35433,                0.99126,                0.96963,                0.98382,                0.98968,                0.93354,                0.38028,                  0.237,                0.82862,              0.0079069,              0.0079069,              0.0079069
                     76,                0.54604,                0.33854,                0.98027,                0.97812,                0.97233,                0.98399,                0.92984,                0.42139,                0.27231,                0.84991,              0.0078786,              0.0078786,              0.0078786
                     77,                0.55364,                0.35072,                0.98657,                0.96244,                0.97496,                0.98459,                0.92757,                0.39016,                0.26477,                0.84537,              0.0078503,              0.0078503,              0.0078503
                     78,                0.57142,                0.35409,                0.98954,                0.97386,                0.98255,                0.98387,                0.91806,                0.42569,                0.24912,                0.84467,               0.007822,               0.007822,               0.007822
                     79,                 0.5408,                0.35508,                0.98016,                 0.9687,                0.98718,                 0.9874,                0.92966,                0.39099,                0.25583,                0.82936,              0.0077937,              0.0077937,              0.0077937
                     80,                0.55362,                0.34053,                0.97627,                0.97211,                0.98819,                0.98362,                0.92679,                0.39981,                0.23685,                 0.8342,              0.0077654,              0.0077654,              0.0077654
                     81,                0.55353,                0.34923,                 0.9802,                0.97005,                0.98571,                0.98565,                0.93633,                 0.3647,                0.23597,                0.82216,              0.0077371,              0.0077371,              0.0077371
                     82,                0.54823,                0.34617,                0.97936,                0.96995,                0.97607,                0.98202,                0.92625,                 0.3773,                0.25123,                0.83161,              0.0077089,              0.0077089,              0.0077089
                     83,                0.54419,                0.34709,                 0.9805,                0.97473,                0.98019,                0.98114,                 0.9351,                0.38633,                0.24193,                0.82725,              0.0076806,              0.0076806,              0.0076806
                     84,                0.53851,                0.34454,                0.98279,                0.97478,                0.98077,                  0.987,                0.93943,                0.36133,                0.24132,                0.81863,              0.0076523,              0.0076523,              0.0076523
                     85,                0.53428,                0.33166,                0.97966,                0.96896,                0.98077,                 0.9817,                0.91979,                0.40332,                0.25571,                0.83833,               0.007624,               0.007624,               0.007624
                     86,                0.53963,                0.33762,                 0.9813,                0.97277,                0.97155,                0.98731,                0.92983,                0.40776,                0.25037,                0.84009,              0.0075957,              0.0075957,              0.0075957
                     87,                0.55792,                0.34823,                0.98943,                0.96288,                0.99282,                0.98885,                0.93421,                0.38482,                0.25161,                 0.8225,              0.0075674,              0.0075674,              0.0075674
                     88,                0.56203,                0.34829,                0.98679,                0.97192,                0.96844,                 0.9759,                0.92326,                0.39886,                0.28924,                0.81574,              0.0075391,              0.0075391,              0.0075391
                     89,                0.53387,                0.33186,                0.96713,                0.96698,                0.99302,                0.98492,                0.93054,                0.40233,                0.25834,                0.80479,              0.0075109,              0.0075109,              0.0075109
                     90,                0.52707,                0.33385,                0.96485,                0.96958,                0.98621,                0.98562,                0.93737,                0.37208,                0.23856,                0.78737,              0.0074826,              0.0074826,              0.0074826
                     91,                0.54451,                0.33609,                0.98145,                0.97493,                 0.9853,                0.98405,                0.93354,                0.39398,                0.24438,                0.80405,              0.0074543,              0.0074543,              0.0074543
                     92,                0.55727,                0.35042,                 0.9742,                0.96989,                0.98718,                0.98641,                0.93968,                0.38966,                0.25311,                0.81767,               0.007426,               0.007426,               0.007426
                     93,                0.54838,                0.33356,                0.99019,                 0.9731,                0.97764,                0.98436,                  0.933,                0.37714,                0.24565,                0.82197,              0.0073977,              0.0073977,              0.0073977
                     94,                0.53001,                0.32451,                 0.9674,                0.97481,                0.98666,                0.98754,                0.93798,                0.39049,                0.23944,                0.83245,              0.0073694,              0.0073694,              0.0073694
                     95,                0.52677,                 0.3273,                0.96287,                0.97507,                0.99394,                0.98873,                0.93651,                0.37893,                 0.2389,                0.81169,              0.0073411,              0.0073411,              0.0073411
                     96,                0.53501,                0.33164,                0.97789,                0.97315,                0.97754,                0.98539,                0.92968,                0.38992,                0.25256,                0.82602,              0.0073129,              0.0073129,              0.0073129
                     97,                 0.5242,                0.32206,                 0.9726,                0.98098,                0.97667,                0.98482,                0.93424,                0.37303,                0.24586,                0.82325,              0.0072846,              0.0072846,              0.0072846
                     98,                0.53392,                0.33133,                0.98004,                0.96538,                0.98652,                 0.9834,                0.93346,                0.38343,                0.24777,                0.82417,              0.0072563,              0.0072563,              0.0072563
                     99,                0.53197,                 0.3227,                0.97072,                 0.9636,                0.99239,                0.98345,                  0.936,                0.39034,                0.23111,                0.82989,               0.007228,               0.007228,               0.007228
                    100,                0.54901,                0.33594,                0.97769,                0.97546,                  0.977,                0.98414,                0.92876,                0.36641,                0.25708,                0.81997,              0.0071997,              0.0071997,              0.0071997
                    101,                0.54819,                0.33821,                 0.9863,                0.96927,                0.98718,                0.98304,                0.93058,                0.38638,                0.26749,                0.82251,              0.0071714,              0.0071714,              0.0071714
                    102,                0.54265,                0.33893,                0.97896,                0.96675,                0.99392,                0.99073,                0.94315,                0.38145,                0.23976,                0.81447,              0.0071431,              0.0071431,              0.0071431
                    103,                0.53278,                0.32339,                0.96984,                0.98136,                0.99968,                0.98897,                 0.9368,                0.38273,                0.22403,                0.81623,              0.0071149,              0.0071149,              0.0071149
                    104,                0.54215,                 0.3209,                0.98241,                0.98099,                0.98128,                0.98865,                0.93568,                 0.3622,                0.24395,                0.81618,              0.0070866,              0.0070866,              0.0070866
                    105,                0.54052,                0.32972,                0.98136,                0.96589,                0.99933,                0.98865,                0.93442,                 0.3915,                0.24322,                0.81904,              0.0070583,              0.0070583,              0.0070583
                    106,                0.53671,                0.32182,                0.96504,                0.98541,                0.99944,                0.98556,                0.93085,                0.38388,                0.23127,                0.82155,                0.00703,                0.00703,                0.00703
                    107,                0.53131,                0.31951,                0.97869,                0.97574,                0.98654,                0.98382,                0.92742,                0.38063,                0.22581,                0.82162,              0.0070017,              0.0070017,              0.0070017
                    108,                0.53413,                0.31654,                0.98429,                 0.9839,                0.99359,                0.98932,                0.93752,                0.38258,                0.22771,                0.81331,              0.0069734,              0.0069734,              0.0069734
                    109,                0.51595,                0.32031,                0.97126,                0.98202,                0.99237,                  0.988,                0.94018,                0.37007,                0.21548,                0.81439,              0.0069451,              0.0069451,              0.0069451
                    110,                0.53061,                0.33022,                0.97952,                0.98027,                0.98246,                0.98624,                0.93689,                0.37932,                0.23254,                0.81542,              0.0069169,              0.0069169,              0.0069169
                    111,                0.51819,                0.31358,                0.96611,                0.97982,                0.99193,                0.98625,                0.93806,                0.37817,                0.21118,                0.82908,              0.0068886,              0.0068886,              0.0068886
                    112,                0.53186,                0.32026,                0.98309,                0.98302,                0.98584,                0.98764,                0.93871,                0.38182,                0.22473,                0.82986,              0.0068603,              0.0068603,              0.0068603
                    113,                0.51518,                 0.3113,                0.97109,                0.97124,                  0.993,                0.98103,                0.93396,                0.36766,                0.22285,                0.82119,               0.006832,               0.006832,               0.006832
                    114,                0.52973,                0.31372,                0.97501,                0.97098,                 0.9991,                0.98988,                 0.9418,                0.37526,                0.26094,                0.80558,              0.0068037,              0.0068037,              0.0068037
                    115,                0.54647,                0.32582,                0.98088,                0.97367,                 0.9867,                0.98461,                0.93832,                0.36906,                 0.2356,                0.79802,              0.0067754,              0.0067754,              0.0067754
                    116,                0.52101,                0.31981,                0.96424,                 0.9743,                0.99359,                0.98544,                0.93751,                0.36513,                0.22501,                0.81402,              0.0067471,              0.0067471,              0.0067471
                    117,                0.52524,                0.31958,                0.97079,                0.97429,                0.98718,                0.98458,                0.93839,                0.36748,                0.22801,                0.81965,              0.0067189,              0.0067189,              0.0067189
                    118,                0.52923,                0.32026,                0.97571,                0.97281,                0.98718,                0.98581,                0.93772,                0.37517,                0.23597,                 0.8224,              0.0066906,              0.0066906,              0.0066906
                    119,                0.50915,                0.30736,                0.95828,                0.97974,                0.98534,                0.98413,                0.93799,                0.37246,                0.23471,                0.82087,              0.0066623,              0.0066623,              0.0066623
                    120,                0.52407,                0.31404,                0.97041,                0.97241,                0.98195,                0.98605,                0.93986,                0.35377,                0.22618,                0.81235,               0.006634,               0.006634,               0.006634
                    121,                0.52895,                0.31669,                  0.973,                0.97957,                 0.9801,                0.98529,                0.93189,                 0.3722,                0.21467,                0.82195,              0.0066057,              0.0066057,              0.0066057
                    122,                0.50703,                0.29923,                0.96406,                0.97526,                0.99231,                0.98778,                0.94076,                0.36249,                0.22614,                0.81907,              0.0065774,              0.0065774,              0.0065774
                    123,                0.50449,                0.30374,                0.95893,                0.97385,                0.98824,                0.98803,                0.94627,                0.35126,                0.22783,                0.80507,              0.0065491,              0.0065491,              0.0065491
                    124,                0.50321,                0.30374,                0.97048,                 0.9763,                0.97704,                0.98707,                0.94219,                0.37718,                0.23402,                 0.8237,              0.0065209,              0.0065209,              0.0065209
                    125,                0.50517,                0.30144,                0.95548,                0.97027,                0.98571,                0.98699,                0.93943,                0.37744,                0.24125,                0.82124,              0.0064926,              0.0064926,              0.0064926
                    126,                 0.5079,                0.31164,                0.95978,                0.97006,                0.98828,                 0.9835,                 0.9398,                0.35828,                0.21944,                0.81629,              0.0064643,              0.0064643,              0.0064643
                    127,                0.50674,                0.31233,                0.97069,                 0.9807,                0.98154,                0.98745,                0.95115,                0.37169,                0.23609,                0.81764,               0.006436,               0.006436,               0.006436
                    128,                0.52361,                 0.3084,                0.96557,                0.98013,                0.97614,                0.98901,                0.94392,                 0.3447,                0.22145,                  0.809,              0.0064077,              0.0064077,              0.0064077
                    129,                0.50848,                0.30373,                0.96552,                0.97502,                0.98709,                0.98827,                0.94039,                0.35992,                0.22672,                0.82148,              0.0063794,              0.0063794,              0.0063794
                    130,                 0.5067,                0.31239,                0.95567,                0.96507,                0.98839,                0.98601,                0.94155,                0.37926,                0.23348,                0.81864,              0.0063511,              0.0063511,              0.0063511
